starttime	seconds	ctime	dtime	ttime	wait
Fri Mar 27 20:33:11 2026	1774639991	110	1170	1281	1170
Fri Mar 27 20:32:29 2026	1774639949	125	1156	1281	1156
Fri Mar 27 20:32:54 2026	1774639974	139	1142	1281	1142
Fri Mar 27 20:32:54 2026	1774639974	139	1142	1281	1142
Fri Mar 27 20:34:00 2026	1774640040	145	1136	1281	1136
Fri Mar 27 20:35:30 2026	1774640130	114	1167	1281	1167
Fri Mar 27 20:34:28 2026	1774640068	114	1167	1281	1167
Fri Mar 27 20:34:02 2026	1774640042	148	1134	1281	1134
Fri Mar 27 20:33:06 2026	1774639986	114	1167	1281	1167
Fri Mar 27 20:34:15 2026	1774640055	110	1171	1281	1171
Fri Mar 27 20:36:10 2026	1774640170	112	1169	1281	1169
Fri Mar 27 20:35:30 2026	1774640130	114	1167	1281	1167
Fri Mar 27 20:32:35 2026	1774639955	128	1154	1281	1154
Fri Mar 27 20:36:26 2026	1774640186	111	1170	1281	1170
Fri Mar 27 20:34:32 2026	1774640072	115	1166	1281	1166
Fri Mar 27 20:35:39 2026	1774640139	144	1137	1281	1137
Fri Mar 27 20:34:20 2026	1774640060	144	1137	1281	1136
Fri Mar 27 20:36:08 2026	1774640168	127	1154	1282	1151
Fri Mar 27 20:35:46 2026	1774640146	131	1151	1282	1150
Fri Mar 27 20:35:36 2026	1774640136	154	1128	1282	1128
Fri Mar 27 20:34:16 2026	1774640056	117	1165	1282	1165
Fri Mar 27 20:34:47 2026	1774640087	121	1160	1282	1160
Fri Mar 27 20:33:08 2026	1774639988	114	1167	1282	1167
Fri Mar 27 20:32:57 2026	1774639977	109	1173	1282	1173
Fri Mar 27 20:34:01 2026	1774640041	132	1150	1282	1150
Fri Mar 27 20:33:02 2026	1774639982	138	1143	1282	1143
Fri Mar 27 20:32:31 2026	1774639951	144	1138	1282	1138
Fri Mar 27 20:32:42 2026	1774639962	136	1146	1282	1146
Fri Mar 27 20:33:54 2026	1774640034	139	1143	1282	1143
Fri Mar 27 20:34:53 2026	1774640093	121	1161	1282	1161
Fri Mar 27 20:34:32 2026	1774640072	121	1161	1282	1161
Fri Mar 27 20:34:03 2026	1774640043	134	1148	1282	1147
Fri Mar 27 20:34:01 2026	1774640041	147	1135	1282	1135
Fri Mar 27 20:32:58 2026	1774639978	119	1164	1282	1164
Fri Mar 27 20:33:40 2026	1774640020	112	1171	1282	1171
Fri Mar 27 20:33:56 2026	1774640036	131	1152	1283	1152
Fri Mar 27 20:35:13 2026	1774640113	131	1152	1283	1152
Fri Mar 27 20:33:21 2026	1774640001	111	1172	1283	1172
Fri Mar 27 20:33:21 2026	1774640001	111	1172	1283	1172
Fri Mar 27 20:35:42 2026	1774640142	114	1169	1283	1169
Fri Mar 27 20:32:58 2026	1774639978	119	1164	1283	1164
Fri Mar 27 20:32:37 2026	1774639957	111	1171	1283	1171
Fri Mar 27 20:33:08 2026	1774639988	133	1149	1283	1149
Fri Mar 27 20:35:16 2026	1774640116	139	1144	1283	1144
Fri Mar 27 20:34:48 2026	1774640088	112	1171	1283	1171
Fri Mar 27 20:33:22 2026	1774640002	128	1155	1283	1155
Fri Mar 27 20:33:20 2026	1774640000	121	1162	1283	1162
Fri Mar 27 20:32:32 2026	1774639952	153	1130	1283	1130
Fri Mar 27 20:34:27 2026	1774640067	118	1165	1283	1164
Fri Mar 27 20:32:29 2026	1774639949	126	1157	1283	1157
Fri Mar 27 20:32:39 2026	1774639959	117	1166	1283	1166
Fri Mar 27 20:33:15 2026	1774639995	120	1163	1283	1163
Fri Mar 27 20:33:15 2026	1774639995	121	1162	1283	1162
Fri Mar 27 20:32:57 2026	1774639977	112	1171	1283	1171
Fri Mar 27 20:34:28 2026	1774640068	118	1165	1283	1165
Fri Mar 27 20:34:55 2026	1774640095	146	1137	1283	1137
Fri Mar 27 20:35:41 2026	1774640141	116	1167	1283	1167
Fri Mar 27 20:33:05 2026	1774639985	154	1130	1283	1130
Fri Mar 27 20:35:41 2026	1774640141	116	1167	1283	1167
Fri Mar 27 20:35:41 2026	1774640141	138	1146	1283	1146
Fri Mar 27 20:33:11 2026	1774639991	119	1165	1284	1165
Fri Mar 27 20:32:37 2026	1774639957	111	1173	1284	1173
Fri Mar 27 20:32:42 2026	1774639962	117	1167	1284	1167
Fri Mar 27 20:33:38 2026	1774640018	123	1160	1284	1160
Fri Mar 27 20:34:03 2026	1774640043	151	1133	1284	1133
Fri Mar 27 20:35:01 2026	1774640101	130	1153	1284	1153
Fri Mar 27 20:32:32 2026	1774639952	110	1174	1284	1173
Fri Mar 27 20:33:59 2026	1774640039	135	1148	1284	1148
Fri Mar 27 20:33:40 2026	1774640020	116	1167	1284	1167
Fri Mar 27 20:34:00 2026	1774640040	149	1135	1284	1135
Fri Mar 27 20:35:39 2026	1774640139	139	1145	1284	1145
Fri Mar 27 20:33:53 2026	1774640033	162	1122	1284	1122
Fri Mar 27 20:34:51 2026	1774640091	115	1169	1284	1169
Fri Mar 27 20:33:47 2026	1774640027	156	1128	1284	1128
Fri Mar 27 20:33:47 2026	1774640027	156	1128	1284	1128
Fri Mar 27 20:35:11 2026	1774640111	140	1144	1284	1144
Fri Mar 27 20:34:47 2026	1774640087	153	1131	1284	1131
Fri Mar 27 20:32:35 2026	1774639955	158	1126	1284	1126
Fri Mar 27 20:32:32 2026	1774639952	113	1171	1284	1170
Fri Mar 27 20:36:15 2026	1774640175	143	1142	1284	1141
Fri Mar 27 20:34:51 2026	1774640091	110	1175	1284	1175
Fri Mar 27 20:33:57 2026	1774640037	148	1137	1284	1137
Fri Mar 27 20:33:57 2026	1774640037	146	1138	1284	1138
Fri Mar 27 20:32:41 2026	1774639961	168	1116	1284	1116
Fri Mar 27 20:33:34 2026	1774640014	116	1168	1284	1168
Fri Mar 27 20:32:29 2026	1774639949	126	1158	1284	1158
Fri Mar 27 20:32:42 2026	1774639962	138	1146	1285	1146
Fri Mar 27 20:32:29 2026	1774639949	126	1158	1285	1158
Fri Mar 27 20:32:51 2026	1774639971	148	1137	1285	1137
Fri Mar 27 20:35:09 2026	1774640109	140	1145	1285	1145
Fri Mar 27 20:34:55 2026	1774640095	121	1164	1285	1164
Fri Mar 27 20:33:02 2026	1774639982	146	1139	1285	1139
Fri Mar 27 20:35:21 2026	1774640121	122	1163	1285	1162
Fri Mar 27 20:35:30 2026	1774640130	154	1131	1285	1131
Fri Mar 27 20:35:37 2026	1774640137	119	1166	1285	1166
Fri Mar 27 20:35:30 2026	1774640130	154	1131	1285	1131
Fri Mar 27 20:32:51 2026	1774639971	130	1155	1285	1155
Fri Mar 27 20:34:43 2026	1774640083	145	1140	1285	1140
Fri Mar 27 20:35:37 2026	1774640137	119	1166	1285	1166
Fri Mar 27 20:33:42 2026	1774640022	129	1156	1285	1156
Fri Mar 27 20:32:32 2026	1774639952	114	1172	1285	1172
Fri Mar 27 20:35:09 2026	1774640109	125	1160	1285	1160
Fri Mar 27 20:32:44 2026	1774639964	118	1167	1285	1167
Fri Mar 27 20:33:05 2026	1774639985	135	1150	1285	1150
Fri Mar 27 20:34:01 2026	1774640041	152	1134	1285	1134
Fri Mar 27 20:34:46 2026	1774640086	113	1172	1285	1172
Fri Mar 27 20:34:47 2026	1774640087	142	1144	1285	1144
Fri Mar 27 20:34:47 2026	1774640087	142	1144	1285	1143
Fri Mar 27 20:36:18 2026	1774640178	142	1144	1285	1144
Fri Mar 27 20:32:37 2026	1774639957	124	1161	1285	1161
Fri Mar 27 20:33:59 2026	1774640039	128	1157	1286	1157
Fri Mar 27 20:32:59 2026	1774639979	122	1163	1286	1163
Fri Mar 27 20:33:44 2026	1774640024	115	1170	1286	1170
Fri Mar 27 20:33:13 2026	1774639993	140	1146	1286	1146
Fri Mar 27 20:35:07 2026	1774640107	123	1163	1286	1163
Fri Mar 27 20:33:59 2026	1774640039	130	1156	1286	1155
Fri Mar 27 20:35:10 2026	1774640110	117	1169	1286	1169
Fri Mar 27 20:33:08 2026	1774639988	116	1169	1286	1169
Fri Mar 27 20:33:13 2026	1774639993	140	1146	1286	1146
Fri Mar 27 20:33:13 2026	1774639993	142	1143	1286	1143
Fri Mar 27 20:34:14 2026	1774640054	118	1168	1286	1168
Fri Mar 27 20:35:40 2026	1774640140	149	1137	1286	1137
Fri Mar 27 20:32:28 2026	1774639948	148	1137	1286	1137
Fri Mar 27 20:34:09 2026	1774640049	137	1149	1286	1149
Fri Mar 27 20:32:46 2026	1774639966	110	1176	1286	1176
Fri Mar 27 20:33:33 2026	1774640013	141	1145	1286	1145
Fri Mar 27 20:35:05 2026	1774640105	138	1148	1286	1147
Fri Mar 27 20:34:03 2026	1774640043	150	1136	1286	1136
Fri Mar 27 20:32:38 2026	1774639958	117	1169	1286	1169
Fri Mar 27 20:34:51 2026	1774640091	141	1145	1286	1145
Fri Mar 27 20:34:36 2026	1774640076	142	1144	1286	1144
Fri Mar 27 20:35:03 2026	1774640103	141	1146	1286	1145
Fri Mar 27 20:32:41 2026	1774639961	168	1119	1286	1118
Fri Mar 27 20:33:39 2026	1774640019	129	1158	1286	1157
Fri Mar 27 20:33:44 2026	1774640024	141	1145	1286	1145
Fri Mar 27 20:35:00 2026	1774640100	133	1153	1286	1153
Fri Mar 27 20:33:59 2026	1774640039	130	1157	1286	1155
Fri Mar 27 20:33:01 2026	1774639981	107	1179	1286	1179
Fri Mar 27 20:33:39 2026	1774640019	129	1157	1286	1157
Fri Mar 27 20:33:47 2026	1774640027	126	1161	1286	1161
Fri Mar 27 20:32:28 2026	1774639948	127	1160	1287	1159
Fri Mar 27 20:33:46 2026	1774640026	121	1166	1287	1166
Fri Mar 27 20:33:22 2026	1774640002	113	1174	1287	1174
Fri Mar 27 20:34:20 2026	1774640060	140	1147	1287	1147
Fri Mar 27 20:34:01 2026	1774640041	151	1136	1287	1136
Fri Mar 27 20:34:37 2026	1774640077	132	1155	1287	1155
